                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2513,                  2.669,                 1.7216,                0.77713,                0.30569,                0.33971,                0.15204,                 1.4803,                 3.2638,                 2.3048,             0.00053932,             0.00053932,             0.00053932
                      2,                 1.2012,                 2.0041,                   1.66,                0.60247,                0.24934,                 0.3079,                0.13869,                 1.6764,                 2.7991,                 2.9102,             0.00098659,             0.00098659,             0.00098659
                      3,                 1.2159,                 1.8979,                 1.6973,                0.51034,                0.35916,                0.31345,                0.12091,                 1.7859,                 3.3126,                 2.3791,              0.0013238,              0.0013238,              0.0013238
                      4,                 1.1636,                 1.7199,                 1.6176,                0.60647,                0.52234,                0.55805,                0.22943,                 1.6038,                 3.4499,                 2.5577,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.1133,                 1.5359,                 1.5467,                0.53479,                0.35761,                0.40939,                0.16831,                  1.773,                 2.4704,                 2.6892,              0.0011719,              0.0011719,              0.0011719
                      6,                 1.0535,                 1.4341,                 1.5173,                 0.6509,                  0.576,                0.57359,                0.29627,                 1.4519,                 1.7116,                 2.0239,              0.0010069,              0.0010069,              0.0010069
                      7,                0.97913,                 1.2562,                 1.4315,                0.73805,                0.55709,                0.58368,                0.30087,                 1.5215,                 1.5668,                 2.2642,             0.00084184,             0.00084184,             0.00084184
                      8,                0.97815,                 1.1502,                  1.412,                0.72357,                0.60513,                0.65662,                0.31664,                 1.4553,                 1.4327,                 2.2589,              0.0006768,              0.0006768,              0.0006768
                      9,                0.87481,                 1.0613,                 1.3607,                0.79169,                0.62077,                0.67101,                0.34888,                 1.4005,                 1.3905,                 1.9546,             0.00051177,             0.00051177,             0.00051177
                     10,                 0.8369,                0.98392,                 1.2775,                 0.7836,                0.66096,                0.71975,                0.40065,                 1.2696,                 1.2557,                 1.7707,             0.00034674,             0.00034674,             0.00034674
