                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2706,                 2.2608,                 1.5758,                0.86659,                0.20823,                0.39003,                0.18076,                  1.487,                 3.0808,                  2.051,             0.00054023,             0.00054023,             0.00054023
                      2,                 1.3064,                 1.7449,                 1.6081,                0.62993,                0.14394,                0.10546,                0.03793,                 2.2808,                 3.8882,                 3.3801,               0.001085,               0.001085,               0.001085
                      3,                 1.3302,                 1.7172,                 1.6339,                0.34803,                0.48485,                 0.3037,                0.10946,                 2.0775,                 3.2812,                 2.6783,              0.0016189,              0.0016189,              0.0016189
                      4,                 1.3593,                 1.5416,                 1.6335,                0.11773,                0.28426,                0.08451,                0.02723,                 2.5743,                 4.5901,                 3.0138,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.3541,                  1.465,                 1.6206,                0.47495,                0.36298,                0.30638,                0.10639,                 2.2577,                 3.1131,                 2.7584,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.3099,                 1.3981,                 1.5932,                0.52995,                0.56818,                0.54976,                0.24559,                 1.9475,                 2.4271,                 2.4651,               0.001601,               0.001601,               0.001601
                      7,                 1.3191,                 1.3387,                 1.5976,                0.40843,                0.56258,                0.42604,                0.18433,                 1.9171,                 2.3735,                 2.4625,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.2809,                 1.2717,                 1.5586,                0.62799,                0.56917,                0.57887,                0.29693,                 1.8344,                 1.7986,                 2.4038,               0.001568,               0.001568,               0.001568
                      9,                 1.1974,                 1.1932,                 1.5094,                0.56869,                0.58384,                 0.5674,                0.28387,                 1.8644,                  1.688,                 2.4708,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.1831,                 1.1349,                 1.4723,                0.73166,                0.56357,                0.64534,                0.32943,                 1.7939,                 1.6251,                 2.2199,               0.001535,               0.001535,               0.001535
