                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79546,                  1.828,                 1.2475,                0.44561,                0.31419,                 0.3076,                0.13734,                  1.592,                 3.1524,                 2.1973,             0.00054609,             0.00054609,             0.00054609
                      2,                0.80235,                 1.3023,                 1.2374,                0.40909,                0.26049,                0.24071,                 0.0952,                 2.1492,                 3.1435,                 2.6953,              0.0010908,              0.0010908,              0.0010908
                      3,                0.85429,                 1.2042,                 1.2494,                0.19515,                0.32374,                0.15314,                0.05054,                 2.3447,                 3.3475,                 3.4125,              0.0016246,              0.0016246,              0.0016246
                      4,                0.83449,                  1.102,                 1.2459,                0.35931,                0.28799,                0.27942,                0.11272,                 2.1523,                 2.7556,                 2.8319,              0.0016175,              0.0016175,              0.0016175
                      5,                0.79835,                 0.9519,                  1.207,                0.45368,                0.44111,                 0.3717,                0.16518,                 2.1878,                  2.712,                 2.6847,              0.0016175,              0.0016175,              0.0016175
                      6,                0.79656,                0.90247,                 1.2189,                0.47694,                0.40379,                0.37753,                 0.1448,                  2.193,                 2.7769,                 2.6631,               0.001601,               0.001601,               0.001601
                      7,                0.76626,                0.80626,                 1.1966,                 0.5643,                0.25906,                0.27981,                0.11241,                 2.2671,                 2.6497,                 3.0715,              0.0015845,              0.0015845,              0.0015845
                      8,                0.77604,                0.82388,                 1.2071,                 0.2723,                0.26464,                0.25394,                0.12542,                 2.3847,                 2.7076,                 2.6328,               0.001568,               0.001568,               0.001568
                      9,                0.73387,                0.76056,                 1.1743,                0.53453,                0.47788,                0.42952,                0.20508,                 2.1567,                 1.8475,                 2.9203,              0.0015515,              0.0015515,              0.0015515
                     10,                0.69564,                0.70101,                  1.143,                0.55276,                0.44128,                  0.399,                0.18717,                 1.9809,                 2.1003,                 2.4377,               0.001535,               0.001535,               0.001535
                     11,                0.67534,                0.65974,                 1.1235,                0.59221,                0.56577,                0.52243,                 0.2407,                 2.1451,                  1.772,                 3.2325,              0.0015185,              0.0015185,              0.0015185
                     12,                0.67529,                0.66297,                 1.1297,                 0.5112,                0.49512,                0.42659,                0.19385,                 1.9134,                 1.8615,                 2.2217,               0.001502,               0.001502,               0.001502
                     13,                0.67852,                0.64835,                 1.1349,                0.67401,                0.54944,                0.55912,                0.26956,                 1.8939,                  1.823,                 2.3155,              0.0014855,              0.0014855,              0.0014855
                     14,                0.69911,                0.66448,                 1.1518,                0.66572,                0.43617,                0.48408,                0.22386,                 1.9656,                 1.8976,                 2.4485,               0.001469,               0.001469,               0.001469
                     15,                0.65915,                0.61718,                 1.1372,                0.64138,                0.57094,                0.57494,                0.28345,                 1.7795,                 1.5941,                 2.2523,              0.0014525,              0.0014525,              0.0014525
                     16,                0.62895,                0.58296,                 1.1122,                0.76113,                0.49479,                0.57065,                0.28191,                 1.7993,                   1.59,                 2.2954,               0.001436,               0.001436,               0.001436
                     17,                0.62607,                0.58087,                 1.1074,                 0.5108,                0.55546,                0.46472,                0.22867,                 2.0118,                 1.7486,                 2.7276,              0.0014195,              0.0014195,              0.0014195
                     18,                0.63622,                0.58125,                 1.1017,                0.68847,                0.54767,                0.59173,                0.30581,                 1.7115,                  1.592,                  2.155,              0.0014029,              0.0014029,              0.0014029
                     19,                0.59769,                0.54524,                 1.0841,                0.70012,                0.54944,                0.57847,                 0.2754,                 1.9324,                 1.5321,                 2.4956,              0.0013864,              0.0013864,              0.0013864
                     20,                0.60083,                 0.5278,                 1.0782,                0.72112,                0.60283,                0.58219,                0.30384,                 1.7925,                 1.5756,                 2.2902,              0.0013699,              0.0013699,              0.0013699
                     21,                0.58402,                0.52787,                 1.0748,                0.59575,                0.55629,                0.58074,                0.27415,                 1.9377,                  1.704,                 2.2781,              0.0013534,              0.0013534,              0.0013534
                     22,                0.60304,                0.54913,                 1.0795,                0.54008,                 0.4677,                0.46847,                 0.2266,                 1.8974,                 1.8389,                 2.2579,              0.0013369,              0.0013369,              0.0013369
                     23,                0.62243,                0.53927,                 1.1013,                0.61162,                0.59435,                0.53031,                0.26516,                  1.997,                 1.5796,                 2.6195,              0.0013204,              0.0013204,              0.0013204
                     24,                 0.5821,                0.52089,                 1.0801,                0.61392,                0.54631,                0.52462,                0.26608,                 1.8186,                 1.6126,                 2.1727,              0.0013039,              0.0013039,              0.0013039
                     25,                0.59348,                0.50859,                 1.0766,                0.58105,                 0.5994,                0.58041,                0.29759,                 1.7267,                   1.65,                 2.0238,              0.0012874,              0.0012874,              0.0012874
                     26,                 0.5962,                0.53286,                 1.0752,                0.63585,                0.61487,                0.58906,                0.32629,                 1.5801,                 1.4928,                 2.0456,              0.0012709,              0.0012709,              0.0012709
                     27,                0.57602,                0.50213,                 1.0715,                0.80638,                0.57187,                0.63836,                0.33604,                 1.7139,                 1.4186,                 2.1289,              0.0012544,              0.0012544,              0.0012544
                     28,                0.55759,                0.48052,                 1.0645,                0.66581,                 0.5537,                0.56753,                0.32789,                 1.5739,                 1.5793,                 1.9658,              0.0012379,              0.0012379,              0.0012379
                     29,                0.57637,                0.46632,                 1.0588,                0.75569,                0.63973,                0.69562,                0.36178,                 1.6335,                 1.3128,                 2.0525,              0.0012214,              0.0012214,              0.0012214
