                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1552,                 2.2776,                 1.5206,                0.96357,                0.05479,                0.35296,                0.16433,                 1.2667,                 3.1946,                 1.9749,             0.00053932,             0.00053932,             0.00053932
                      2,                 1.0697,                 1.5859,                 1.4607,                  0.508,                0.40319,                 0.4301,                0.18241,                 1.6061,                 2.6027,                 2.6345,              0.0010841,              0.0010841,              0.0010841
                      3,                 1.1292,                 1.5766,                 1.4854,                0.18799,                0.37583,                0.15532,                0.06074,                 1.9846,                 3.6464,                 3.3689,               0.001618,               0.001618,               0.001618
                      4,                 1.1506,                 1.4723,                 1.4998,                0.32111,                0.49671,                0.35587,                0.13271,                 1.7925,                 4.3841,                 2.6107,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1258,                 1.3187,                 1.4809,                0.27164,                0.46875,                0.31536,                0.10075,                 2.0816,                 2.7666,                 2.9965,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.0915,                  1.234,                 1.4519,                0.47183,                 0.3937,                0.34224,                0.15117,                 1.9164,                 2.4375,                 2.8451,               0.001601,               0.001601,               0.001601
                      7,                 1.0398,                 1.2013,                 1.3938,                0.43093,                0.46621,                0.38423,                0.15925,                 1.9773,                 2.7402,                 2.6838,              0.0015845,              0.0015845,              0.0015845
                      8,                0.98462,                 1.0688,                 1.3641,                0.55937,                 0.5569,                0.51029,                0.19873,                 1.8807,                 1.6466,                  2.499,               0.001568,               0.001568,               0.001568
                      9,                 1.0287,                 1.1046,                 1.4028,                0.55581,                0.49236,                0.43297,                0.17377,                  2.024,                 2.0404,                 2.7153,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.0279,                 1.0669,                 1.4064,                0.71187,                0.62235,                 0.6566,                0.29408,                 1.5391,                 1.4967,                  2.073,               0.001535,               0.001535,               0.001535
                     11,                 1.0139,                 1.0445,                 1.4024,                0.78388,                0.59077,                0.61043,                0.29976,                  1.512,                 1.4626,                 2.2125,              0.0015185,              0.0015185,              0.0015185
                     12,                0.95563,                0.97988,                 1.3362,                 0.6242,                0.50843,                0.55975,                0.24822,                 1.7102,                 1.6065,                 2.2439,               0.001502,               0.001502,               0.001502
                     13,                0.91233,                0.91344,                 1.3177,                0.62087,                0.66517,                0.64466,                0.33376,                 1.6157,                  1.321,                 2.3248,              0.0014855,              0.0014855,              0.0014855
                     14,                 0.9291,                  0.911,                 1.3259,                0.64994,                0.63937,                0.64506,                0.33687,                 1.6263,                 1.5237,                 2.2032,               0.001469,               0.001469,               0.001469
                     15,                0.93027,                0.92159,                 1.3252,                 0.5516,                0.56076,                0.55988,                0.29254,                 1.5383,                 1.4928,                 2.2961,              0.0014525,              0.0014525,              0.0014525
                     16,                0.90129,                0.86106,                 1.2822,                0.66787,                0.64173,                0.63584,                0.32306,                 1.4467,                 1.2112,                 2.1475,               0.001436,               0.001436,               0.001436
                     17,                0.88855,                0.83991,                 1.3013,                0.65494,                0.54584,                0.52579,                0.26596,                 1.4703,                  1.451,                 1.9794,              0.0014195,              0.0014195,              0.0014195
                     18,                0.86221,                0.83185,                 1.2617,                   0.67,                 0.6053,                0.60877,                0.30066,                 1.6723,                 1.4638,                  2.125,              0.0014029,              0.0014029,              0.0014029
                     19,                0.86428,                 0.8281,                 1.2881,                0.71676,                0.68684,                0.68662,                0.37122,                 1.4328,                 1.1751,                 1.9666,              0.0013864,              0.0013864,              0.0013864
                     20,                0.87295,                0.80079,                 1.2801,                0.73637,                0.62584,                0.67783,                0.35944,                 1.5163,                 1.1876,                 1.9625,              0.0013699,              0.0013699,              0.0013699
                     21,                0.86621,                0.80886,                 1.2729,                0.69003,                0.66651,                0.70072,                0.36463,                 1.4721,                 1.1906,                 2.0284,              0.0013534,              0.0013534,              0.0013534
                     22,                0.87429,                0.78866,                 1.2763,                0.79696,                0.64594,                0.71297,                0.36628,                 1.5206,                 1.1538,                 2.1069,              0.0013369,              0.0013369,              0.0013369
                     23,                0.85547,                0.80297,                 1.2715,                0.75319,                0.60465,                0.68295,                0.38192,                 1.4208,                 1.1778,                 2.0508,              0.0013204,              0.0013204,              0.0013204
