                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1552,                 2.2776,                 1.5206,                0.96357,                0.05479,                0.35296,                0.16433,                 1.2667,                 3.1946,                 1.9749,             0.00053932,             0.00053932,             0.00053932
                      2,                 1.0666,                 1.6052,                 1.4628,                0.59406,                0.34996,                0.35372,                0.16779,                 1.4894,                 2.8091,                 2.4512,              0.0010733,              0.0010733,              0.0010733
                      3,                 1.1233,                 1.5533,                 1.4814,                0.44866,                 0.4039,                0.30836,                0.11442,                 1.7164,                 3.0656,                 2.6079,              0.0015853,              0.0015853,              0.0015853
                      4,                  1.121,                 1.4501,                 1.4878,                0.38185,                0.31573,                 0.3086,                0.13411,                 1.8752,                 3.1103,                  2.597,               0.001568,               0.001568,               0.001568
                      5,                 1.1036,                 1.3169,                 1.4567,                 0.5977,                 0.4539,                0.45811,                 0.2365,                 1.7313,                 2.0572,                 2.4197,               0.001568,               0.001568,               0.001568
                      6,                 1.0915,                  1.261,                  1.449,                0.40697,                0.40569,                0.36333,                0.16902,                 1.9733,                 2.1159,                  2.928,               0.001535,               0.001535,               0.001535
                      7,                 1.0048,                 1.1373,                 1.3788,                0.41848,                0.49543,                0.45486,                0.20762,                 1.6296,                 2.1144,                 2.2369,               0.001502,               0.001502,               0.001502
                      8,                0.97524,                 1.0725,                 1.3524,                0.52317,                0.49802,                0.45954,                 0.2047,                 1.8362,                 1.8701,                 2.5546,               0.001469,               0.001469,               0.001469
                      9,                 1.0308,                  1.101,                 1.3988,                0.52814,                0.41031,                0.45378,                0.19984,                 1.9574,                 1.9434,                 2.5899,               0.001436,               0.001436,               0.001436
                     10,                 0.9929,                 1.0438,                 1.3868,                0.71797,                0.51321,                 0.5599,                0.21581,                 1.9827,                  1.594,                 2.7262,              0.0014029,              0.0014029,              0.0014029
